"Record_number","Entry_date","Study_number","Author","Quality_flag","Contributor","Country","Region","Site_name","Site_ID","Study_midyear","YearsOfData","Latitude","Longitude","Elevation","Manipulation","Manipulation_level","Age_ecosystem","Age_disturbance","Species","Biome","Ecosystem_type","Ecosystem_state","Leaf_habit","Stage","Soil_type","Soil_drainage","Soil_BD","Soil_CN","Soil_sand","Soil_silt","Soil_clay","MAT","MAP","PET","Study_temp","Study_precip","Meas_method","Collar_height","Collar_depth","Chamber_area","Time_of_day","Meas_interval","Annual_coverage","Partition_method","Rs_annual","Rs_annual_err","Rs_interann_err","Rlitter_annual","Ra_annual","Rh_annual","RC_annual","Rs_growingseason","Rs_wet","Rs_dry","GPP","ER","NEP","NPP","ANPP","BNPP","TBCA","Litter_flux","LAI","BA","C_veg_total","C_AG","C_BG","C_CR","C_FR","C_litter","C_soilmineral","C_soildepth","Notes"
3561,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-LRTR",2006,1,24.53333333,101.0166667,2476,"Thinned",NA,NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,"Exclusion",450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3562,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-TR",2006,1,24.53333333,101.0166667,2476,"Trench",NA,NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,"Exclusion",683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3563,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-GIRD",2006,1,24.53333333,101.0166667,2476,"Girdling",NA,NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,NA,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3564,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-GIRDLR",2006,1,24.53333333,101.0166667,2476,"Girdling, litter removal",NA,NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,NA,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3565,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-GIRDLRTR",2006,1,24.53333333,101.0166667,2476,"Girdling, litter removal, trenching",NA,NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,NA,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3566,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-GIRDTR",2006,1,24.53333333,101.0166667,2476,"Girdling",NA,NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,"Exclusion",535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3611,"2010-04-23",5063,"Pei","Q01","BBL","China","Qinghai","Wudaoliang","CN-WDL",2000,1,35.21666667,93.08333333,4767,"None",NA,NA,NA,"Stipa purpurea","Boreal","Grassland","Natural","Deciduous","Mature","Sandy loam","Dry",NA,NA,NA,NA,NA,-5.6,300,NA,NA,NA,"IRGA",NA,NA,2500,NA,21,1,NA,79.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.1,NA,NA,NA,NA,NA,NA,NA,22.275,334.375,NA,NA,0.62,NA,NA,"Q10 estimated from figure"
3612,"2010-04-23",5063,"Pei","Q01","BBL","China","Qinghai","Wudaoliang","CN-WDL",2001,1,35.21666667,93.08333333,4767,"None",NA,NA,NA,"Stipa purpurea","Boreal","Grassland","Natural","Deciduous","Mature","Sandy loam","Dry",NA,NA,NA,NA,NA,-5.6,300,NA,NA,NA,"IRGA",NA,NA,2500,NA,21,1,NA,79.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.9,NA,NA,NA,NA,NA,NA,NA,28.24,558.57,NA,NA,4.23,NA,NA,"Q10 estimated from figure"
4522,"2012-04-25",5895,"Wu","Q01","BBL","China",NA,NA,"CN-NN-CK24YR",2008.5,2,22.57,112.83,NA,"None",NA,NA,24,"Dicranopteris dichotoma","Subtropical","Forest","Managed","Evergreen","Aggrading",NA,"Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRGA",5,2,314,NA,30,1,NA,795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4523,"2012-04-25",5895,"Wu","Q01","BBL","China",NA,NA,"CN-NN-GIRD24YR",2008.5,2,22.57,112.83,NA,"Girdling",NA,NA,24,"Dicranopteris dichotoma","Subtropical","Forest","Managed","Evergreen","Aggrading",NA,"Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRGA",5,2,314,NA,30,1,NA,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4524,"2012-04-25",5895,"Wu","Q01","BBL","China",NA,NA,"CN-NN-RR24YR",2008.5,2,22.57,112.83,NA,"Understory removal",NA,NA,24,"Dicranopteris dichotoma","Subtropical","Forest","Managed","Evergreen","Aggrading",NA,"Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRGA",5,2,314,NA,30,1,NA,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4525,"2012-04-25",5895,"Wu","Q01","BBL","China",NA,NA,"CN-NN-GIRDRR24YR",2008.5,2,22.57,112.83,NA,"Girdling, understory removal",NA,NA,24,"Dicranopteris dichotoma","Subtropical","Forest","Managed","Evergreen","Aggrading",NA,"Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRGA",5,2,314,NA,30,1,NA,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4526,"2012-04-25",5895,"Wu","Q01","BBL","China",NA,NA,"CN-NN-CK2YR",2008.5,2,22.57,112.83,NA,"None",NA,NA,2,"Dicranopteris dichotoma","Subtropical","Forest","Managed","Evergreen","Aggrading",NA,"Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRGA",5,2,314,NA,30,1,NA,908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4527,"2012-04-25",5895,"Wu","Q01","BBL","China",NA,NA,"CN-NN-GIRD2YR",2008.5,2,22.57,112.83,NA,"Girdling",NA,NA,2,"Dicranopteris dichotoma","Subtropical","Forest","Managed","Evergreen","Aggrading",NA,"Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRGA",5,2,314,NA,30,1,NA,719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4528,"2012-04-25",5895,"Wu","Q01","BBL","China",NA,NA,"CN-NN-RR2YR",2008.5,2,22.57,112.83,NA,"Understory removal",NA,NA,2,"Dicranopteris dichotoma","Subtropical","Forest","Managed","Evergreen","Aggrading",NA,"Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRGA",5,2,314,NA,30,1,NA,757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4529,"2012-04-25",5895,"Wu","Q01","BBL","China",NA,NA,"CN-NN-GIRDRR2YR",2008.5,2,22.57,112.83,NA,"Girdling, understory removal",NA,NA,2,"Dicranopteris dichotoma","Subtropical","Forest","Managed","Evergreen","Aggrading",NA,"Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRGA",5,2,314,NA,30,1,NA,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4660,"2012-05-09",5935,"Wang","Q01","BBL","China",NA,NA,"CN-QES",2004,1,26.74416667,115.0591667,102,"None",NA,NA,19,"Pinus elliottii","Subtropical","Forest","Managed","Evergreen","Aggrading","Red earth","Dry",1.5,NA,NA,NA,NA,17.9,1469,NA,NA,NA,"Gas chromatography",5,3,2500,NA,7,1,NA,705,NA,11,NA,NA,NA,NA,NA,2.21,2.38,NA,NA,NA,NA,NA,NA,NA,NA,5.6,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
4661,"2012-05-09",5935,"Wang","Q01","BBL","China",NA,NA,"CN-QES",2005,1,26.74416667,115.0591667,102,"None",NA,NA,19,"Pinus elliottii","Subtropical","Forest","Managed","Evergreen","Aggrading","Red earth","Dry",1.5,NA,NA,NA,NA,17.9,1469,NA,NA,NA,"Gas chromatography",5,3,2500,NA,7,1,NA,720,NA,46,NA,NA,NA,NA,NA,2.36,2.28,NA,NA,NA,NA,NA,NA,NA,NA,5.6,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
4662,"2012-05-09",5935,"Wang","Q01","BBL","China",NA,NA,"CN-QES",2006,1,26.74416667,115.0591667,102,"None",NA,NA,19,"Pinus elliottii","Subtropical","Forest","Managed","Evergreen","Aggrading","Red earth","Dry",1.5,NA,NA,NA,NA,17.9,1469,NA,NA,NA,"Gas chromatography",5,3,2500,NA,7,1,NA,785,NA,42,NA,NA,NA,NA,NA,2.52,2.62,NA,NA,NA,NA,NA,NA,NA,NA,5.6,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
4663,"2012-05-09",5935,"Wang","Q01","BBL","China",NA,NA,"CN-QES",2007,1,26.74416667,115.0591667,102,"None",NA,NA,19,"Pinus elliottii","Subtropical","Forest","Managed","Evergreen","Aggrading","Red earth","Dry",1.5,NA,NA,NA,NA,17.9,1469,NA,NA,NA,"IRGA",5,3,2500,NA,7,1,NA,725,NA,14,NA,NA,NA,NA,NA,2.16,2.56,NA,NA,NA,NA,NA,NA,NA,NA,5.6,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
4664,"2012-05-09",5935,"Wang","Q01","BBL","China",NA,NA,"CN-QES",2008,1,26.74416667,115.0591667,102,"None",NA,NA,19,"Pinus elliottii","Subtropical","Forest","Managed","Evergreen","Aggrading","Red earth","Dry",1.5,NA,NA,NA,NA,17.9,1469,NA,NA,NA,"IRGA",5,3,2500,NA,7,1,NA,745,NA,11,NA,NA,NA,NA,NA,2.31,2.59,NA,NA,NA,NA,NA,NA,NA,NA,5.6,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
4665,"2012-05-09",5935,"Wang","Q01","BBL","China",NA,NA,"CN-QES",2009,1,26.74416667,115.0591667,102,"None",NA,NA,19,"Pinus elliottii","Subtropical","Forest","Managed","Evergreen","Aggrading","Red earth","Dry",1.5,NA,NA,NA,NA,17.9,1469,NA,NA,NA,"IRGA",5,3,2500,NA,7,1,NA,730,NA,NA,NA,NA,NA,NA,NA,2.17,2.55,NA,NA,NA,NA,NA,NA,NA,NA,5.6,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
4700,"2012-05-10",6149,"Wang","Q01","BBL","China","Jiangxi","Dagangshan Forest Station","CN-DFS-CF10",2007,1,27.67,114.67,280,"None",NA,NA,5,"Cunninghamia lanceolata","Subtropical","Forest","Managed","Evergreen","Mature","Ultisols, inceptisols","Dry",NA,NA,NA,NA,NA,16.8,1590,NA,NA,NA,"IRGA",6,5,81.7,NA,15,0.83,NA,673,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,395,NA,NA,60,NA,NA,NA
4701,"2012-05-10",6149,"Wang","Q01","BBL","China","Jiangxi","Dagangshan Forest Station","CN-DFS-CF20",2007,1,27.67,114.67,280,"None",NA,NA,15,"Cunninghamia lanceolata","Subtropical","Forest","Managed","Evergreen","Mature","Ultisols, inceptisols","Dry",NA,NA,NA,NA,NA,16.8,1590,NA,NA,NA,"IRGA",6,5,81.7,NA,15,0.83,NA,1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,860,NA,NA,200,NA,NA,NA
4702,"2012-05-10",6149,"Wang","Q01","BBL","China","Jiangxi","Dagangshan Forest Station","CN-DFS-CF25",2007,1,27.67,114.67,300,"None",NA,NA,23,"Cunninghamia lanceolata","Subtropical","Forest","Managed","Evergreen","Mature","Ultisols, inceptisols","Dry",NA,NA,NA,NA,NA,16.8,1590,NA,NA,NA,"IRGA",6,5,81.7,NA,15,0.83,NA,1220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA,NA,1375,NA,NA,255,NA,NA,NA
4703,"2012-05-10",6149,"Wang","Q01","BBL","China","Jiangxi","Dagangshan Forest Station","CN-DFS-CF35",2007,1,27.67,114.67,300,"None",NA,NA,30,"Cunninghamia lanceolata","Subtropical","Forest","Managed","Evergreen","Mature","Ultisols, inceptisols","Dry",NA,NA,NA,NA,NA,16.8,1590,NA,NA,NA,"IRGA",6,5,81.7,NA,15,0.83,NA,1203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,1085,NA,NA,315,NA,NA,NA
4704,"2012-05-10",6149,"Wang","Q01","BBL","China","Jiangxi","Dagangshan Forest Station","CN-DFS-CF36",2007,1,27.67,114.67,300,"None",NA,NA,37,"Cunninghamia lanceolata","Subtropical","Forest","Managed","Evergreen","Mature","Ultisols, inceptisols","Dry",NA,NA,NA,NA,NA,16.8,1590,NA,NA,NA,"IRGA",6,5,81.7,NA,15,0.83,NA,870,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,1475,NA,NA,350,NA,NA,NA
4913,"2013-07-30",6396,"Luo","Q01","BBL","China",NA,"Hailuogou Glacier","CN-HLG-19YR",2009,1,30,102,NA,"None",NA,NA,19,"Astragalus adsurgens; Salix spp.; Hippophae rhamnoides; Populus purdomii","Temperate","Shrubland","Natural","Deciduous","Aggrading",NA,"Dry",1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRGA",NA,2.5,NA,NA,5,1,NA,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2965,NA,NA,NA,NA,NA,NA,NA
4915,"2013-07-30",6396,"Luo","Q01","BBL","China",NA,"Hailuogou Glacier","CN-HLG-53YR",2009,1,30,102,NA,"None",NA,NA,53,"Betula utilis; Abies fabri; Picea brachytula","Temperate","Shrubland","Natural","Deciduous","Mature",NA,"Dry",1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRGA",NA,2.5,NA,NA,5,1,NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13025,NA,NA,NA,NA,NA,NA,NA
4916,"2013-07-30",6396,"Luo","Q01","BBL","China",NA,"Hailuogou Glacier","CN-HLG-71YR",2009,1,30,102,NA,"None",NA,NA,71,"Betula utilis; Abies fabri; Picea brachytula","Temperate","Shrubland","Natural","Deciduous","Mature",NA,"Dry",0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRGA",NA,2.5,NA,NA,5,1,NA,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17345,NA,NA,NA,NA,NA,NA,NA
4917,"2013-07-30",6396,"Luo","Q01","BBL","China",NA,"Hailuogou Glacier","CN-HLG-82YR",2009,1,30,102,NA,"None",NA,NA,82,"Betula utilis; Abies fabri; Picea brachytula","Temperate","Shrubland","Natural","Deciduous","Mature",NA,"Dry",1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRGA",NA,2.5,NA,NA,5,1,NA,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18105,NA,NA,NA,NA,NA,NA,NA
5216,"2015-08-24",6755,"Chen","Q01","BBL","China",NA,"Tian’e Zhou wetland","CN-TZW-GRA",2009.5,1,29.49,112.23,NA,"None",NA,NA,NA,"Carex argyi","Subtropical","Wetland","Natural","Evergreen","Mature",NA,"Dry",NA,NA,NA,NA,NA,16,1200,NA,NA,NA,"IRGA",5,1.5,84.91,NA,30,1,NA,636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5217,"2015-08-24",6755,"Chen","Q01","BBL","China",NA,"Tian’e Zhou wetland","CN-TZW-FEN",2009.5,1,29.49,112.23,NA,"None","No grazing",NA,NA,"Carex argyi","Subtropical","Wetland","Natural","Evergreen","Mature",NA,"Dry",NA,NA,NA,NA,NA,16,1200,NA,NA,NA,"IRGA",5,1.5,84.91,NA,30,1,NA,532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5510,"2017-01-11",8088,"Wu","Q01","BBL","China","Yunnan","Ailaoshan Station for Subtropical Forest Ecosystem Studies","CN-ASF",2011,2,24.53,101.02,2480,"None",NA,NA,NA,"Vaccinium duclouxii; Lithocarpus chintungensis; Schima noronhae; Sinarundinaria nitida","Subtropical","Forest","Natural",NA,"Mature","Alfisols","Dry",NA,NA,NA,NA,NA,11.3,1778,NA,NA,NA,"IRGA",20,2,314,NA,30,1,"Exclusion",2062,NA,NA,186,928,1134,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,"2017-01-11",8264,"Shi","Q01","BBL","China","Shaanxi","Mt Gonglushan","CN-MGS-O",2011.5,2,26.423,109.526,1353,"None",NA,NA,60,"Quercus liaotungensis","Temperate","Forest","Natural","Deciduous","Mature",NA,"Dry",NA,NA,NA,NA,NA,10.1,504.7,NA,NA,NA,"IRGA",10,2.5,323.6,NA,30,1,NA,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5517,"2017-01-11",8264,"Shi","Q01","BBL","China","Shaanxi","Mt Gonglushan","CN-MGS-A",2011.5,2,26.423,109.526,1353,"None",NA,NA,50,"Platycladus orientalis","Temperate","Forest","Natural","Deciduous","Mature",NA,"Dry",NA,NA,NA,NA,NA,10.1,504.7,NA,NA,NA,"IRGA",10,2.5,323.6,NA,30,1,NA,825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5518,"2017-01-11",8264,"Shi","Q01","BBL","China","Shaanxi","Mt Gonglushan","CN-MGS-L",2011.5,2,26.423,109.526,1353,"None",NA,NA,30,"Robinia pseudoacacia","Temperate","Forest","Managed","Deciduous","Mature",NA,"Dry",NA,NA,NA,NA,NA,10.1,504.7,NA,NA,NA,"IRGA",10,2.5,323.6,NA,30,1,NA,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5519,"2017-01-11",8264,"Shi","Q01","BBL","China","Shaanxi","Mt Gonglushan","CN-MGS-S",2011.5,2,26.423,109.526,1353,"None",NA,NA,NA,"Syringa oblata; Rosa hugonis; Caragana microphylla","Temperate","Shrubland","Natural","Deciduous","Mature",NA,"Dry",NA,NA,NA,NA,NA,10.1,504.7,NA,NA,NA,"IRGA",10,2.5,323.6,NA,30,1,NA,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5520,"2017-01-11",8264,"Shi","Q01","BBL","China","Shaanxi","Mt Gonglushan","CN-MGS-B",2011.5,2,26.423,109.526,1353,"None",NA,NA,NA,"None","Temperate","Shrubland","Managed","Deciduous","Mature",NA,"Dry",NA,NA,NA,NA,NA,10.1,504.7,NA,NA,NA,"IRGA",10,2.5,323.6,NA,30,1,NA,575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5812,"2017-01-28",7582,"Wang","Q01","BBL","China",NA,"Huitong National Research Station of Forest Ecosystem","CN-HNR-CK",2011.5,1,26.8,109.6,NA,"None",NA,NA,23,"Cunninghamia lanceolata; Pinus massoniana","Subtropical","Forest","Unmanaged","Evergreen","Aggrading","Oxisol","Dry",1.23,NA,11,45,44,16.5,1200,NA,NA,NA,"IRGA",5.8,2,84.9,NA,30,1,"Comparison",511,NA,NA,114,103,408,0.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5813,"2017-01-28",7582,"Wang","Q01","BBL","China",NA,"Huitong National Research Station of Forest Ecosystem","CN-HNR-DL",2011.5,1,26.8,109.6,NA,"Litter manipulation","Double litter",NA,23,"Cunninghamia lanceolata; Pinus massoniana","Subtropical","Forest","Unmanaged","Evergreen","Aggrading","Oxisol","Dry",1.23,NA,11,45,44,16.5,1200,NA,NA,NA,"IRGA",5.8,2,84.9,NA,30,1,NA,679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5814,"2017-01-28",7582,"Wang","Q01","BBL","China",NA,"Huitong National Research Station of Forest Ecosystem","CN-HNR-NL",2011.5,1,26.8,109.6,NA,"Litter manipulation","No litter",NA,23,"Cunninghamia lanceolata; Pinus massoniana","Subtropical","Forest","Unmanaged","Evergreen","Aggrading","Oxisol","Dry",1.23,NA,11,45,44,16.5,1200,NA,NA,NA,"IRGA",5.8,2,84.9,NA,30,1,NA,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5815,"2017-01-28",7582,"Wang","Q01","BBL","China",NA,"Huitong National Research Station of Forest Ecosystem","CN-HNR-NR",2011.5,1,26.8,109.6,NA,"Litter manipulation","No roots",NA,23,"Cunninghamia lanceolata; Pinus massoniana","Subtropical","Forest","Unmanaged","Evergreen","Aggrading","Oxisol","Dry",1.23,NA,11,45,44,16.5,1200,NA,NA,NA,"IRGA",5.8,2,84.9,NA,30,1,NA,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5816,"2017-01-28",7582,"Wang","Q01","BBL","China",NA,"Huitong National Research Station of Forest Ecosystem","CN-HNR-NI",2011.5,1,26.8,109.6,NA,"Litter manipulation","No inputs",NA,23,"Cunninghamia lanceolata; Pinus massoniana","Subtropical","Forest","Unmanaged","Evergreen","Aggrading","Oxisol","Dry",1.23,NA,11,45,44,16.5,1200,NA,NA,NA,"IRGA",5.8,2,84.9,NA,30,1,NA,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6433,"2018-01-09",7878,"Peng","Q01","MH","China","Yangtze River source","Beilu River Research Station","CN-YZR-CK",2012.5,1,34.81666667,92.93333333,4635,"None",NA,NA,NA,"Kobresia capillifolia, Kobresia pygmaea, Carex moorcroftii","Boreal","Grassland","Natural","Deciduous","Mature","Cryosol","Dry",NA,NA,NA,NA,NA,-5.1,294.5,1316.9,-3.5,420.1,"IRGA",5,2.5,86.5,NA,30,0.5,NA,833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6434,"2018-01-09",7878,"Peng","Q01","MH","China","Yangtze River source","Beilu River Research Station","CN-YZR-CLIP",2012.5,1,34.81666667,92.93333333,4635,"Clip","Aboveground biomass cut <320 g m-2",NA,NA,"Kobresia capillifolia, Kobresia pygmaea, Carex moorcroftii","Boreal","Grassland","Natural","Deciduous","Mature","Cryosol","Dry",NA,NA,NA,NA,NA,-5.1,294.5,1316.9,-3.5,420.1,"IRGA",5,2.5,86.5,NA,30,0.5,NA,984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
