"Record_number","Entry_date","Study_number","Author","Duplicate_record","Quality_flag","Contributor","Country","Region","Site_name","Site_ID","Study_midyear","YearsOfData","Latitude","Longitude","Elevation","Manipulation","Manipulation_level","Age_ecosystem","Age_disturbance","Species","Biome","Ecosystem_type","Ecosystem_state","Leaf_habit","Stage","Soil_type","Soil_drainage","Soil_BD","Soil_CN","Soil_sand","Soil_silt","Soil_clay","MAT","MAP","PET","Study_temp","Study_precip","Meas_method","Collar_height","Collar_depth","Chamber_area","Time_of_day","Meas_interval","Annual_coverage","Partition_method","Rs_annual","Rs_annual_err","Rs_interann_err","Rlitter_annual","Ra_annual","Rh_annual","RC_annual","Rs_spring","Rs_summer","Rs_autumn","Rs_winter","Rs_growingseason","Rs_wet","Rs_dry","RC_seasonal","RC_season","GPP","ER","NEP","NPP","ANPP","BNPP","NPP_FR","TBCA","Litter_flux","Rootlitter_flux","TotDet_flux","Ndep","LAI","BA","C_veg_total","C_AG","C_BG","C_CR","C_FR","C_litter","C_soilmineral","C_soildepth","Notes"
5815,"2017-01-28",7582,"Wang",NA,"Q01","BBL","China",NA,"Huitong National Research Station of Forest Ecosystem","CN-HNR-NR",2011.5,1,26.8,109.6,NA,"Litter manipulation","No roots",NA,23,"Cunninghamia lanceolata; Pinus massoniana","Subtropical","Forest","Unmanaged","Evergreen","Aggrading","Oxisol","Dry",1.23,NA,11,45,44,16.5,1200,NA,NA,NA,"IRGA",5.8,2,84.9,NA,30,1,NA,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5816,"2017-01-28",7582,"Wang",NA,"Q01","BBL","China",NA,"Huitong National Research Station of Forest Ecosystem","CN-HNR-NI",2011.5,1,26.8,109.6,NA,"Litter manipulation","No inputs",NA,23,"Cunninghamia lanceolata; Pinus massoniana","Subtropical","Forest","Unmanaged","Evergreen","Aggrading","Oxisol","Dry",1.23,NA,11,45,44,16.5,1200,NA,NA,NA,"IRGA",5.8,2,84.9,NA,30,1,NA,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6250,"2017-10-04",10208,"Shi",NA,"Q01","MH","China",NA,"Labagoumen Mountain","CN-LBM",2010.5,1,40.86861111,116.5619444,NA,"None",NA,NA,NA,"Quercus mongolica","Temperate","Forest","Natural","Mixed","Mature",NA,"Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRGA",8,5.5,314.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Growing season values estimated from Figure 2C"
6251,"2017-10-04",10208,"Shi",NA,"Q01","MH","China",NA,"Laojun Mountain","CN-LJM",2010.5,NA,33.71944444,111.605,NA,"None",NA,NA,NA,"Quercus variabilis; Quercus aliena; Pinus armandii; Abies fargesii; Betula chinensis","Temperate","Forest","Natural","Mixed","Mature",NA,"Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRGA",8,5.5,314.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Growing season values estimated from Figure 2C"
6252,"2017-10-04",10208,"Shi",NA,"Q01","MH","China",NA,"Dalaoling Mountain","CN-DLM",2010.5,1,31.0875,110.92,NA,"None",NA,NA,NA,"Cyclobalanopsis fulvisericeus; Cyclo balanopsis glauca; Quercus engleriana; Sycopsis sinensis; Castanea mollissima; Fagus pashanica; Quercus aliena; Tsuga chinensis","Subtropical","Forest","Natural","Mixed","Mature",NA,"Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRGA",8,5.5,314.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Growing season values estimated from Figure 2C"
6253,"2017-10-04",10208,"Shi",NA,"Q01","MH","China",NA,"Tiantong Mountain","CN-TTM",2010.5,1,29.80722222,121.7988889,NA,"None",NA,NA,NA,"Schima superba; Castanopsis carlesii; Castanopsis fargesii","Subtropical","Forest","Natural","Mixed","Mature",NA,"Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRGA",8,5.5,314.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Growing season values estimated from Figure 2C"
6254,"2017-10-04",10208,"Shi",NA,"Q01","MH","China",NA,"Nanling Mountain","CN-NNM",2010.5,1,25.22777778,113.4408333,NA,"None",NA,NA,NA,"Lithocarpus corneus; Castanopsis hystrix; Machilus kwangtungensis; Pinus massoniana; Castanopsis hystrix; Cinnamomum camphora","Subtropical","Forest","Natural","Mixed","Mature",NA,"Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRGA",8,5.5,314.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Growing season values estimated from Figure 2C"
6255,"2017-10-04",10208,"Shi",NA,"Q01","MH","China",NA,"Wutong Mountain","CN-WTM",2010.5,1,22.57527778,114.18,NA,"None",NA,NA,NA,"Mixed","Subtropical","Forest","Natural","Mixed","Mature",NA,"Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRGA",8,5.5,314.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Growing season values estimated from Figure 2C"
6321,"2017-11-16",10351,"Shi",NA,"Q01","MH","China","Heilongjiang","Liangshui Nature Reserve","CN-LSR-BPF",2012,2,47.18055556,128.8888889,NA,"None",NA,300,NA,"Pinus koraiensis, Betula castata, Tilia amurensis,","Temperate","Forest","Unmanaged","Deciduous","Mature","Cryumbreps","Dry",NA,NA,NA,NA,NA,-0.3,676,NA,NA,NA,"IRGA",6,4,85,NA,14,0.42,"Exclusion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.273,NA,NA,0.326,"Growing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1,NA,NA,NA,NA,187.08,NA,4800,NA,"R10 and thus model parameters estimated from Figure 3"
6322,"2017-11-16",10351,"Shi",NA,"Q01","MH","China","Heilongjiang","Liangshui Nature Reserve","CN-LSR-SBF",2012,2,47.18055556,128.8888889,NA,"None",NA,58,58,"Betula platyphylla, Larix gmelinii, Picea koraiensis,","Temperate","Forest","Unmanaged","Deciduous","Mature","Cryumbreps","Dry",NA,NA,NA,NA,NA,-0.3,676,NA,NA,NA,"IRGA",6,4,85,NA,14,0.42,"Exclusion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.272,NA,NA,0.353,"Growing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7,NA,NA,NA,NA,251.07,NA,5790,NA,"R10 and thus model parameters estimated from Figure 3"
6323,"2017-11-16",10351,"Shi",NA,"Q01","MH","China","Heilongjiang","Liangshui Nature Reserve","CN-LSR-LP",2012,2,47.18055556,128.8888889,NA,"None",NA,57,57,"Larix gmelinii, Fraxinus mandshurica, Acer mono,","Temperate","Forest","Managed","Deciduous","Mature","Cryumbreps","Dry",NA,NA,NA,NA,NA,-0.3,676,NA,NA,NA,"IRGA",6,4,85,NA,14,0.42,"Exclusion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.73,NA,NA,0.266,"Growing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.4,NA,NA,NA,NA,158.29,NA,5650,NA,"R10 and thus model parameters estimated from Figure 3"
6324,"2017-11-16",10351,"Shi",NA,"Q01","MH","China","Heilongjiang","Liangshui Nature Reserve","CN-LSR-PP",2012,2,47.18055556,128.8888889,NA,"None",NA,57,57,"Pinus koraiensis, Phellodendron amurense, Acer mono,","Temperate","Forest","Managed","Evergreen","Mature","Cryumbreps","Dry",NA,NA,NA,NA,NA,-0.3,676,NA,NA,NA,"IRGA",6,4,85,NA,14,0.42,"Exclusion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61,NA,NA,0.338,"Growing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2,NA,NA,NA,NA,193.5,NA,5580,NA,"R10 and thus model parameters estimated from Figure 3"
6412,"2017-12-15",7868,"Sun",NA,"Q01","MH","China","Hebei","Saihanba Ecological Station","CN-SES-CK",2012,3,42.41666667,117.25,1505,"None",NA,21,21,"Larix principis-rupprenchtii, Pinus sylvestris var. mongolica","Boreal","Forest","Managed","Evergreen","Aggrading","Predominently sandy","Dry",1.38,NA,NA,NA,NA,-1.4,450,NA,NA,NA,"IRGA",11,8,314,NA,NA,0.5,"Exclusion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.106,NA,NA,0.27,"Growing",NA,NA,NA,NA,NA,NA,NA,NA,405,NA,NA,0.7,NA,NA,NA,NA,NA,NA,355,NA,5323,100,NA
6413,"2017-12-15",7868,"Sun",NA,"Q01","MH","China","Hebei","Saihanba Ecological Station","CN-SES-20N",2012,3,42.41666667,117.25,1505,"Fertilized","20 kg N ha-1 yr-1",21,21,"Larix principis-rupprenchtii, Pinus sylvestris var. mongolica","Boreal","Forest","Managed","Evergreen","Aggrading","Predominently sandy","Dry",1.38,NA,NA,NA,NA,-1.4,450,NA,NA,NA,"IRGA",11,8,314,NA,NA,0.5,"Exclusion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.794,NA,NA,0.17,"Growing",NA,NA,NA,NA,NA,NA,NA,NA,375,NA,NA,0.7,NA,NA,NA,NA,NA,NA,360,NA,5323,100,NA
6414,"2017-12-15",7868,"Sun",NA,"Q01","MH","China","Hebei","Saihanba Ecological Station","CN-SES-50N",2012,3,42.41666667,117.25,1505,"Fertilized","50 kg N ha-1 yr-1",21,21,"Larix principis-rupprenchtii, Pinus sylvestris var. mongolica","Boreal","Forest","Managed","Evergreen","Aggrading","Predominently sandy","Dry",1.38,NA,NA,NA,NA,-1.4,450,NA,NA,NA,"IRGA",11,8,314,NA,NA,0.5,"Exclusion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82,NA,NA,0.21,"Growing",NA,NA,NA,NA,NA,NA,NA,NA,405,NA,NA,0.7,NA,NA,NA,NA,NA,NA,365,NA,5323,100,NA
6433,"2018-01-09",7878,"Peng",NA,"Q01","MH","China","Yangtze River source","Beilu River Research Station","CN-YZR-CK",2012.5,1,34.81666667,92.93333333,4635,"None",NA,NA,NA,"Kobresia capillifolia, Kobresia pygmaea, Carex moorcroftii","Boreal","Grassland","Natural","Deciduous","Mature","Cryosol","Dry",NA,NA,NA,NA,NA,-5.1,294.5,1316.9,-3.5,420.1,"IRGA",5,2.5,86.5,NA,30,0.5,NA,833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6434,"2018-01-09",7878,"Peng",NA,"Q01","MH","China","Yangtze River source","Beilu River Research Station","CN-YZR-CLIP",2012.5,1,34.81666667,92.93333333,4635,"Clip","Aboveground biomass cut <320 g m-2",NA,NA,"Kobresia capillifolia, Kobresia pygmaea, Carex moorcroftii","Boreal","Grassland","Natural","Deciduous","Mature","Cryosol","Dry",NA,NA,NA,NA,NA,-5.1,294.5,1316.9,-3.5,420.1,"IRGA",5,2.5,86.5,NA,30,0.5,NA,984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6435,"2018-01-09",7878,"Peng",NA,"Q01","MH","China","Yangtze River source","Beilu River Research Station","CN-YZR-HEAT",2012.5,1,34.81666667,92.93333333,4635,"Warmed","150 watts m-2",NA,NA,"Kobresia capillifolia, Kobresia pygmaea, Carex moorcroftii","Boreal","Grassland","Natural","Deciduous","Mature","Cryosol","Dry",NA,NA,NA,NA,NA,-5.1,294.5,1316.9,-3.5,420.1,"IRGA",5,2.5,86.5,NA,30,0.5,NA,1135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6436,"2018-01-09",7878,"Peng",NA,"Q01","MH","China","Yangtze River source","Beilu River Research Station","CN-YZR-CLIPHEAT",2012.5,1,34.81666667,92.93333333,4635,"Clip, warmed","Aboveground biomass cut <320 g m-2, 150 watts m-2",NA,NA,"Kobresia capillifolia, Kobresia pygmaea, Carex moorcroftii","Boreal","Grassland","Natural","Deciduous","Mature","Cryosol","Dry",NA,NA,NA,NA,NA,-5.1,294.5,1316.9,-3.5,420.1,"IRGA",5,2.5,86.5,NA,30,0.5,NA,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6437,"2018-01-09",7878,"Peng",NA,"Q01","MH","China","Yangtze River source","Beilu River Research Station","CN-YZR-CK",2013.5,1,34.81666667,92.93333333,4635,"None",NA,NA,NA,"Kobresia capillifolia, Kobresia pygmaea, Carex moorcroftii","Boreal","Grassland","Natural","Deciduous","Mature","Cryosol","Dry",NA,NA,NA,NA,NA,-5.1,294.5,1316.9,-3.8,238.8,"IRGA",5,2.5,86.5,NA,30,0.5,NA,851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6438,"2018-01-09",7878,"Peng",NA,"Q01","MH","China","Yangtze River source","Beilu River Research Station","CN-YZR-CLIP",2013.5,1,34.81666667,92.93333333,4635,"Clip","Aboveground biomass cut <320 g m-2",NA,NA,"Kobresia capillifolia, Kobresia pygmaea, Carex moorcroftii","Boreal","Grassland","Natural","Deciduous","Mature","Cryosol","Dry",NA,NA,NA,NA,NA,-5.1,294.5,1316.9,-3.8,238.8,"IRGA",5,2.5,86.5,NA,30,0.5,NA,1060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6439,"2018-01-09",7878,"Peng",NA,"Q01","MH","China","Yangtze River source","Beilu River Research Station","CN-YZR-HEAT",2013.5,1,34.81666667,92.93333333,4635,"Warmed","150 watts m-2",NA,NA,"Kobresia capillifolia, Kobresia pygmaea, Carex moorcroftii","Boreal","Grassland","Natural","Deciduous","Mature","Cryosol","Dry",NA,NA,NA,NA,NA,-5.1,294.5,1316.9,-3.8,238.8,"IRGA",5,2.5,86.5,NA,30,0.5,NA,1060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6440,"2018-01-09",7878,"Peng",NA,"Q01","MH","China","Yangtze River source","Beilu River Research Station","CN-YZR-CLIPHEAT",2013.5,1,34.81666667,92.93333333,4635,"Clip, warmed","Aboveground biomass cut <320 g m-2, 150 watts m-2",NA,NA,"Kobresia capillifolia, Kobresia pygmaea, Carex moorcroftii","Boreal","Grassland","Natural","Deciduous","Mature","Cryosol","Dry",NA,NA,NA,NA,NA,-5.1,294.5,1316.9,-3.8,238.8,"IRGA",5,2.5,86.5,NA,30,0.5,NA,946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6447,"2018-01-16",6915,"Fu",NA,"Q01","MH","China","Shaanxi","Shenmu Erosion and Environment Research Station","CN-SHX-SHR",2009.5,1,38.80833333,110.3666667,NA,"None",NA,5,5,"Caragana Korshinskii","Temperate","Shrubland","Managed","Deciduous","Aggrading","Calcaric Regosol","Dry",NA,NA,40.4,44,15.6,8,437,NA,NA,NA,"IRGA",12,2.5,314,NA,2,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Data extracted from Figure 6"
6448,"2018-01-16",6915,"Fu",NA,"Q01","MH","China","Shaanxi","Shenmu Erosion and Environment Research Station","CN-SHX-GRAPORUN",2009.5,1,38.80833333,110.3666667,NA,"Pruned",NA,5,0,NA,"Temperate","Grassland","Managed","Deciduous","Aggrading","Calcaric Regosol","Dry",NA,NA,40.4,44,15.6,8,437,NA,NA,NA,"IRGA",12,2.5,314,NA,2,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Data extracted from Figure 6"
6449,"2018-01-16",6915,"Fu",NA,"Q01","MH","China","Shaanxi","Shenmu Erosion and Environment Research Station","CN-SHX-GRACK",2009.5,1,38.80833333,110.3666667,NA,"None",NA,5,5,"Artemisia scoparia","Temperate","Grassland","Managed","Deciduous","Aggrading","Calcaric Regosol","Dry",NA,NA,40.4,44,15.6,8,437,NA,NA,NA,"IRGA",12,2.5,314,NA,2,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Data extracted from Figure 6"
6450,"2018-01-16",6915,"Fu",NA,"Q01","MH","China","Shaanxi","Shenmu Erosion and Environment Research Station","CN-SHX-CRO",2009.5,1,38.80833333,110.3666667,NA,"Conventional tillage, fertilized","Tilled to a depth of 20 cm, 120 kg N ha-1, 60 kg phosphorus pentoxide ha-1",5,0,"Setaria  italica","Temperate","Agriculture","Managed","Deciduous","Aggrading","Calcaric Regosol","Dry",NA,NA,40.4,44,15.6,8,437,NA,NA,NA,"IRGA",12,2.5,314,NA,2,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Data extracted from Figure 6"
6460,"2018-02-01",7573,"Wang",NA,"Q01","BBL","China","Guangxi","Experimental Center of Tropical Forestry","CN-GX-PINUS",2009,1,22.16666667,106.8333333,NA,"None",NA,26,26,"Pinus massoniana","Subtropical","Forest","Managed","Evergreen","Aggrading","Oxisol","Dry",NA,NA,57,8,35,21,1400,NA,NA,NA,"Gas chromatography",NA,5,490.63,NA,30,1,NA,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4700,20,NA
6461,"2018-02-01",7573,"Wang",NA,"Q01","BBL","China","Guangxi","Experimental Center of Tropical Forestry","CN-GX-MP",2009,1,22.16666667,106.8333333,NA,"None",NA,26,26,"Pinus massoniana; Castanopsis hystrix","Subtropical","Forest","Managed","Mixed","Aggrading","Oxisol","Dry",NA,NA,62,7,31,21,1400,NA,NA,NA,"Gas chromatography",NA,5,490.63,NA,30,1,NA,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5400,20,NA
6462,"2018-02-01",7573,"Wang",NA,"Q01","BBL","China","Guangxi","Experimental Center of Tropical Forestry","CN-GX-CASTANOPSIS",2009,1,22.16666667,106.8333333,NA,"None",NA,26,26,"Castanopsis hystrix","Subtropical","Forest","Managed","Deciduous","Aggrading","Oxisol","Dry",NA,NA,59,7,34,21,1400,NA,NA,NA,"Gas chromatography",NA,5,490.63,NA,30,1,NA,622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,20,NA
6466,"2018-02-01",7593,"Wang",NA,"Q01","BBL","China",NA,"Naiman Desertification Research Station","CN-NDR-CKFERT",2010.5,1,42.91666667,120.7,360,"None",NA,NA,NA,"Setaria viridis; Pennisetum centrasiaticum; Chloris virgate; Lespedeza davurica; Artemesia scoparia; Corispermum macrocarpum; Chenopodium acuminatum","Temperate","Grassland","Natural","Deciduous","Mature","Sandy","Dry",NA,NA,NA,NA,NA,6.8,366,1935,NA,NA,"IRGA",5,2.5,80,NA,15,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.05,43.6,37.45,0,37.45,NA,NA,NA,NA
6467,"2018-02-01",7593,"Wang",NA,"Q01","BBL","China",NA,"Naiman Desertification Research Station","CN-NDR-NFERT",2010.5,1,42.91666667,120.7,360,"Fertilized","N",NA,NA,"Setaria viridis; Pennisetum centrasiaticum; Chloris virgate; Lespedeza davurica; Artemesia scoparia; Corispermum macrocarpum; Chenopodium acuminatum","Temperate","Grassland","Natural","Deciduous","Mature","Sandy","Dry",NA,NA,NA,NA,NA,6.8,366,1935,NA,NA,"IRGA",5,2.5,80,NA,15,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.5,49.15,56.35,0,56.35,NA,NA,NA,NA
6468,"2018-02-01",7593,"Wang",NA,"Q01","BBL","China",NA,"Naiman Desertification Research Station","CN-NDR-PFERT",2010.5,1,42.91666667,120.7,360,"Fertilized","P",NA,NA,"Setaria viridis; Pennisetum centrasiaticum; Chloris virgate; Lespedeza davurica; Artemesia scoparia; Corispermum macrocarpum; Chenopodium acuminatum","Temperate","Grassland","Natural","Deciduous","Mature","Sandy","Dry",NA,NA,NA,NA,NA,6.8,366,1935,NA,NA,"IRGA",5,2.5,80,NA,15,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.8,56.9,39.9,0,39.9,NA,NA,NA,NA
6469,"2018-02-01",7593,"Wang",NA,"Q01","BBL","China",NA,"Naiman Desertification Research Station","CN-NDR-NPFERT",2010.5,1,42.91666667,120.7,360,"Fertilized","NP",NA,NA,"Setaria viridis; Pennisetum centrasiaticum; Chloris virgate; Lespedeza davurica; Artemesia scoparia; Corispermum macrocarpum; Chenopodium acuminatum","Temperate","Grassland","Natural","Deciduous","Mature","Sandy","Dry",NA,NA,NA,NA,NA,6.8,366,1935,NA,NA,"IRGA",5,2.5,80,NA,15,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.2,57.95,40.25,0,40.25,NA,NA,NA,NA
6470,"2018-02-01",7593,"Wang",NA,"Q01","BBL","China",NA,"Naiman Desertification Research Station","CN-NDR-CKFERT",2011.5,1,42.91666667,120.7,360,"None",NA,NA,NA,"Setaria viridis; Pennisetum centrasiaticum; Chloris virgate; Lespedeza davurica; Artemesia scoparia; Corispermum macrocarpum; Chenopodium acuminatum","Temperate","Grassland","Natural","Deciduous","Mature","Sandy","Dry",NA,NA,NA,NA,NA,6.8,366,1935,NA,NA,"IRGA",5,2.5,80,NA,15,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.05,43.6,37.45,0,37.45,NA,NA,NA,NA
6471,"2018-02-01",7593,"Wang",NA,"Q01","BBL","China",NA,"Naiman Desertification Research Station","CN-NDR-NFERT",2011.5,1,42.91666667,120.7,360,"Fertilized","N",NA,NA,"Setaria viridis; Pennisetum centrasiaticum; Chloris virgate; Lespedeza davurica; Artemesia scoparia; Corispermum macrocarpum; Chenopodium acuminatum","Temperate","Grassland","Natural","Deciduous","Mature","Sandy","Dry",NA,NA,NA,NA,NA,6.8,366,1935,NA,NA,"IRGA",5,2.5,80,NA,15,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.5,49.15,56.35,0,56.35,NA,NA,NA,NA
6472,"2018-02-01",7593,"Wang",NA,"Q01","BBL","China",NA,"Naiman Desertification Research Station","CN-NDR-PFERT",2011.5,1,42.91666667,120.7,360,"Fertilized","P",NA,NA,"Setaria viridis; Pennisetum centrasiaticum; Chloris virgate; Lespedeza davurica; Artemesia scoparia; Corispermum macrocarpum; Chenopodium acuminatum","Temperate","Grassland","Natural","Deciduous","Mature","Sandy","Dry",NA,NA,NA,NA,NA,6.8,366,1935,NA,NA,"IRGA",5,2.5,80,NA,15,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.8,56.9,39.9,0,39.9,NA,NA,NA,NA
